player_id,name,team,position,status,depth_position,starter_probability,injury_status,effective_date,source_url,source_type,confidence,review_date,notes
5158973,Faizon Brandon,TENN,QB,starter,QB1,1.00,healthy,2026-08-24,https://utsports.com/news/2026/8/24/football-vols-begin-mock-game-week-freshman-faizon-brandon-named-qb-starter,official,high,2026-09-05,Heupel named true freshman Week 1 starter vs Furman. No college starts; needs a named-starter prior not just role=1.
4917093,Ryan Staub,TENN,QB,backup,QB2,0.25,healthy,2026-08-24,https://utsports.com/news/2026/8/24/football-vols-begin-mock-game-week-freshman-faizon-brandon-named-qb-starter,official,high,2026-09-05,Locked backup after Brandon named starter.
5141571,George MacIntyre,TENN,QB,backup,QB3,0.25,healthy,2026-08-24,https://utsports.com/news/2026/8/24/football-vols-begin-mock-game-week-freshman-faizon-brandon-named-qb-starter,official,high,2026-09-05,Lost the camp job to Brandon.
5141629,Keelon Russell,ALA,QB,starter,QB1,1.00,healthy,2026-08-20,https://www.rollbama.com/football/alabama-names-keelon-russell-starting-quarterback/,media,high,2026-09-05,Named Alabama starter. Little college passing volume; named-starter prior applies.
4878681,Davis Warren,STAN,QB,starter,QB1,1.00,healthy,2026-08-18,,media,medium,2026-09-05,Named Stanford starter.
4592532,Billy Edwards Jr.,UNC,QB,starter,QB1,1.00,healthy,2026-08-18,,media,medium,2026-09-05,Named UNC starter.
5295238,Luke Weaver,SJSU,QB,starter,QB1,1.00,healthy,2026-08-18,,media,medium,2026-09-05,Named SJSU starter.
4838679,Ashton Daniels,FSU,QB,starter,QB1,1.00,healthy,2026-08-18,,media,medium,2026-09-05,Named FSU starter.
5193346,Quinn Henicle,ODU,QB,starter,QB1,1.00,healthy,2026-08-18,,media,medium,2026-09-05,Named ODU starter.
5044387,Anthony Colandrea,NEB,QB,starter,QB1,1.00,healthy,2026-08-18,,media,medium,2026-09-05,Named Nebraska starter.
4870607,Jackson Arnold,UNLV,QB,committee,QB1,0.50,healthy,2026-08-24,https://www.reviewjournal.com/sports/unlv/unlv-football/dan-mullen-not-naming-unlvs-starting-qb-i-dont-even-know-our-first-play-3868796/,media,high,2026-08-30,Mullen: both Arnold and Orji will play vs Memphis; starter may depend on personnel grouping. Dual-QB snap shares must sum to 1.
4685495,Alex Orji,UNLV,QB,committee,QB2,0.50,healthy,2026-08-24,https://www.reviewjournal.com/sports/unlv/unlv-football/dan-mullen-not-naming-unlvs-starting-qb-i-dont-even-know-our-first-play-3868796/,media,high,2026-08-30,Split with Arnold. 2025 injury limited him to 3 pass attempts.
